City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
544,bukama,-9.2,25.85,295.75,97,100,"{'speed': 2.28, 'deg': 79, 'gust': 5.04}",CD,1730232791
545,mandalgovi,45.7625,106.2708,276.52,59,100,"{'speed': 3.41, 'deg': 244, 'gust': 8.98}",MN,1730232793
546,kostomuksha,64.571,30.5767,273.54,89,100,"{'speed': 5.07, 'deg': 207, 'gust': 10.63}",RU,1730232794
547,la sarre,48.8002,-79.1996,278.18,86,100,"{'speed': 4.14, 'deg': 178, 'gust': 11.63}",CA,1730232796
548,fort bragg,35.139,-79.006,294.9,59,100,"{'speed': 2.57, 'deg': 70}",US,1730232797
549,demopolis,32.5176,-87.8364,302.12,42,75,"{'speed': 3.6, 'deg': 140}",US,1730232799
550,tura,25.5198,90.2201,294.24,95,4,"{'speed': 0.94, 'deg': 66, 'gust': 0.85}",IN,1730232800
551,trail,49.0998,-117.7022,281.31,54,82,"{'speed': 1.16, 'deg': 153, 'gust': 1.09}",CA,1730232802
552,hailey,43.5196,-114.3153,281.07,35,75,"{'speed': 10.73, 'deg': 320}",US,1730232803
553,jayapura,-2.5333,140.7,295.81,95,79,"{'speed': 2.73, 'deg': 184, 'gust': 2.98}",ID,1730232805
554,sandakan,5.8402,118.1179,297.97,88,20,"{'speed': 2.24, 'deg': 240, 'gust': 0}",MY,1730232807
555,na wa,17.4897,104.1006,294.04,87,39,"{'speed': 1.23, 'deg': 322, 'gust': 1.12}",TH,1730232808
556,ternate,0.8,127.4,299.94,80,100,"{'speed': 2.56, 'deg': 67, 'gust': 2.97}",ID,1730232810
557,dali,25.7,100.1833,285.97,88,14,"{'speed': 1.5, 'deg': 230, 'gust': 1.78}",CN,1730232811
558,baicheng,45.6167,122.8167,276.35,87,0,"{'speed': 1.36, 'deg': 271, 'gust': 1.33}",CN,1730232813
559,ust'-kulom,61.6864,53.6902,274.55,97,100,"{'speed': 2.91, 'deg': 176, 'gust': 9.59}",RU,1730232820
560,trincomalee,8.5711,81.2335,300.27,80,96,"{'speed': 3.85, 'deg': 236, 'gust': 7.8}",LK,1730232821
561,figuig (centre),32.1089,-1.2286,289.97,27,0,"{'speed': 3.11, 'deg': 189, 'gust': 4.06}",MA,1730232823
562,baardheere,2.3446,42.2764,301.52,56,100,"{'speed': 5.54, 'deg': 142, 'gust': 7.73}",SO,1730232824
563,haapsalu,58.9431,23.5414,282.6,91,93,"{'speed': 7.79, 'deg': 212, 'gust': 12.88}",EE,1730232826
564,amasra,41.7463,32.3863,286.41,86,6,"{'speed': 2.11, 'deg': 169, 'gust': 1.7}",TR,1730232828
565,dhidhdhoo,6.8833,73.1,301.08,79,65,"{'speed': 5.24, 'deg': 289, 'gust': 5.56}",MV,1730232829
566,nouadhibou,20.931,-17.0347,296.14,53,0,"{'speed': 6.69, 'deg': 360}",MR,1730232831
567,aswan,24.0934,32.907,297.63,36,63,"{'speed': 5.11, 'deg': 332, 'gust': 9.77}",EG,1730232832
568,qianzhou,28.3167,109.7167,286.66,74,0,"{'speed': 1.35, 'deg': 318, 'gust': 1.08}",CN,1730232834
569,okha,53.5739,142.9478,272.18,76,81,"{'speed': 2.74, 'deg': 310, 'gust': 4.82}",RU,1730232836
570,yuzhno-kurilsk,44.0306,145.8556,280.46,78,94,"{'speed': 0.93, 'deg': 217, 'gust': 1.56}",RU,1730232837
