City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kyshtovka,56.555,76.6271,-1.67,81,59,2.25,RU,1730394118
83,pangody,65.85,74.4859,-4.96,92,66,6.59,RU,1730394120
84,klyuchi,52.2667,79.1667,1.24,85,80,2.6,RU,1730394121
85,plainview,40.7765,-73.4673,25.1,63,90,0.89,US,1730394123
86,uturoa,-16.7333,-151.4333,25.13,68,77,6.42,PF,1730394124
87,la ronge,55.1001,-105.2842,-3.86,74,75,6.17,CA,1730394126
88,ust-nera,64.5667,143.2,-25.06,100,98,1.28,RU,1730394128
89,nuuk,64.1835,-51.7216,1.34,40,75,6.69,GL,1730394129
90,hammerfest,70.6634,23.6821,-1.75,93,75,7.72,NO,1730394131
91,brookings,44.3114,-96.7984,5.66,64,0,7.2,US,1730394102
92,newman,37.3138,-121.0208,15.03,75,91,1.34,US,1730394139
93,leua,48.2156,18.6071,12.19,71,86,2.68,SK,1730394141
94,lompoc,34.6391,-120.4579,15.07,71,0,1.34,US,1730394142
95,antalaha,-14.9003,50.2788,23.99,81,84,4.03,MG,1730394144
96,edinburgh of the seven seas,-37.0676,-12.3116,14.05,79,68,10.69,SH,1730394145
97,blackmans bay,-43.0167,147.3167,8.07,77,94,0.45,AU,1730394147
98,ilulissat,69.2167,-51.1,-4.99,36,40,7.72,GL,1730394148
99,kasaragod,12.5,75.0,25.69,87,92,1.54,IN,1730394150
100,hawaiian paradise park,19.5933,-154.9731,23.28,98,100,0.89,US,1730394121
101,cabo san lucas,22.8909,-109.9124,30.28,61,4,1.34,MX,1730394121
102,kiunga,-6.1219,141.2906,22.43,99,96,0.71,PG,1730394156
103,shashi,30.3072,112.2447,17.21,49,0,8.0,CN,1730394158
104,touros,-5.1989,-35.4608,28.67,61,64,7.29,BR,1730394159
105,xiaoweizhai,26.1903,107.5125,13.69,75,1,2.43,CN,1730394161
106,margaret river,-33.95,115.0667,14.69,74,57,1.41,AU,1730394162
107,ribeira grande,38.5167,-28.7,22.22,83,75,10.28,PT,1730394164
108,fale old settlement,-9.3852,-171.2468,28.61,69,100,5.02,TK,1730394167
109,mbanza-ngungu,-5.25,14.8667,23.44,80,98,2.86,CD,1730394170
110,xining,36.6167,101.7667,5.33,78,89,0.94,CN,1730394012
111,portlaoise,53.0344,-7.2998,11.56,88,25,1.66,IE,1730394173
112,broome,42.2506,-75.833,24.7,54,0,8.23,US,1730394174
113,ta`u,-14.2336,-169.5144,27.24,81,100,5.01,AS,1730394176
114,balkanabat,39.5108,54.3671,16.14,36,39,4.06,TM,1730394178
115,kruisfontein,-34.0033,24.7314,16.82,82,34,6.04,ZA,1730394179
116,fortuna,40.5982,-124.1573,10.75,92,97,4.47,US,1730394181
117,timimoun,29.2639,0.231,30.21,16,0,1.54,DZ,1730394182
118,vorgashor,67.5833,63.95,-2.34,84,79,8.12,RU,1730394184
119,columbia falls,48.3725,-114.1815,-1.18,93,100,0.0,US,1730394185
120,harstad,68.799,16.5293,-1.58,68,100,3.65,NO,1730394187
121,palu,-0.8917,119.8707,24.31,90,84,1.71,ID,1730394190
122,muisne,0.6,-80.0333,25.74,73,92,4.84,EC,1730394192
123,lorengau,-2.0226,147.2712,26.98,80,97,0.45,PG,1730394193
124,saint-philippe,-21.3585,55.7679,22.39,78,100,5.21,RE,1730394195
125,hofors,60.5457,16.2867,8.03,90,100,1.54,SE,1730394196
126,horta,38.5333,-28.6333,21.8,89,75,10.28,PT,1730394198
127,galliano,29.4422,-90.2992,29.0,70,40,3.09,US,1730394199
128,hiawatha,42.0358,-91.6821,7.23,84,100,10.29,US,1730394201
129,anadyr,64.75,177.4833,-1.72,79,40,11.0,RU,1730394203
130,coos bay,43.3665,-124.2179,10.99,93,100,2.57,US,1730394204
131,talnakh,69.4865,88.3972,-11.27,94,100,4.33,RU,1730394208
132,lumding railway colony,25.749,93.17,21.04,96,8,0.64,IN,1730394209
133,nuku'alofa,-21.1333,-175.2,24.19,94,75,1.03,TO,1730394211
134,usinsk,65.9939,57.5281,1.76,86,100,11.58,RU,1730394212
135,charters towers,-20.1,146.2667,19.16,81,64,2.48,AU,1730394214
136,ishigaki,24.3448,124.1572,28.07,89,75,10.8,JP,1730394216
137,santo antonio,-6.3106,-35.4789,33.1,39,39,7.75,BR,1730394217
138,mooloolaba,-26.6833,153.1167,20.59,85,51,5.63,AU,1730394219
139,bei'an,46.4398,126.2373,6.42,83,6,3.18,CN,1730394222
140,viedma,-40.8135,-62.9967,28.99,21,42,4.58,AR,1730394005
141,turpan,42.9333,89.1667,11.98,48,14,0.65,CN,1730394227
142,punta arenas,-53.15,-70.9167,19.06,37,0,9.77,CL,1730394228
143,dawson creek,55.7666,-120.2362,-4.2,86,100,0.0,CA,1730394230
144,shahzadpur,24.1667,89.6,27.91,69,63,2.06,BD,1730394231
145,napili-honokowai,20.9708,-156.6705,25.1,89,20,7.58,US,1730394233
146,youghal,51.95,-7.8506,11.42,93,16,2.06,IE,1730394234
147,coquimbo,-29.9533,-71.3436,18.32,71,75,4.63,CL,1730394236
148,san pedro de ycuamandiyu,-24.0917,-57.0764,37.33,24,100,3.67,PY,1730394238
149,longonjo,-12.9067,15.2533,26.85,18,100,1.91,AO,1730394239
150,puerto maldonado,-12.6,-69.1833,35.22,52,40,3.6,PE,1730394241
151,san antonio de pale,-1.4014,5.6325,25.63,80,60,4.78,GQ,1730394242
152,les anglais,18.3054,-74.2197,27.95,64,4,1.24,HT,1730394244
153,xapuri,-10.6517,-68.5044,36.76,31,59,2.2,BR,1730394245
154,aleksandrovsk-sakhalinskiy,50.8975,142.1561,0.56,62,5,4.45,RU,1730394247
155,sena madureira,-9.0656,-68.6569,36.55,34,71,1.8,BR,1730394248
156,cimitarra,6.3142,-73.9497,29.33,64,99,1.76,CO,1730394250
157,kuanda,56.3161,116.0806,-6.84,93,100,0.43,RU,1730394252
158,tura,25.5198,90.2201,22.81,73,19,1.39,IN,1730394253
159,port shepstone,-30.7414,30.455,19.01,73,20,1.5,ZA,1730394255
160,geraldton,-28.7667,114.6,16.23,88,68,2.06,AU,1730394256
161,rongelap,11.1635,166.8941,28.29,79,69,5.82,MH,1730394258
162,churapcha,62.0025,132.4325,-22.76,100,50,1.06,RU,1730394259
163,nemuro,43.3236,145.575,9.72,71,35,6.66,JP,1730394261
164,belmonte,-15.8631,-38.8828,26.88,69,100,2.8,BR,1730394262
165,whitehorse,60.7161,-135.0538,-2.57,92,75,0.0,CA,1730394264
166,westport,41.1415,-73.3579,26.75,56,100,1.34,US,1730394089
